grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Shark 3D,182,Horreur,191685,5,5A,Amerique du Nord,Etats-Unis,David R. Ellis,"1,8",1,"1,9",1
Halal police d'Etat,70,Comédie,793296,5,1A,France,France,Rachid Dhibou,"2,8",2,"1,9",1
Stone,230,Thriller,100519,5,3A,Amerique du Nord,Etats-Unis,John Curran,"1,8",1,2,2
Low Cost,158,Comédie,243959,5,1A,France,France,Maurice Barthélémy,2,2,"2,1",2
Chez Gino,225,Comédie,103961,5,1A,France,France,Samuel Benchetrit,"2,5",2,"2,1",2
Comment savoir?,229,Romance,102012,5,1A,Amerique du Nord,Etats-Unis,James L. Brooks,"2,9",2,"2,2",2
Requiem pour une tueuse,233,Thriller,94157,5,3A,France,France,Jérôme Le Gris,"1,5",1,"2,3",2
Apollo 18,263,Science Fiction,60131,5,5A,Amerique du Nord,Etats-Unis,Gonzalo Lopez-Gallego,"1,7",1,"2,3",2
Conan,148,Fantasy,260813,5,5A,Amerique du Nord,Etats-Unis,Marcus Nispel,"1,8",1,"2,3",2
Very Cold Trip,267,Comédie,58362,5,1A,Europe,Finlande,Dome Karukoski,"2,7",2,"2,3",2
La Croisière,86,Comédie,673307,5,1A,France,France,Pascale Pouzadoux,2,2,"2,4",2
"Les Aventures de Philibert, capitaine puceau",269,Comédie,57896,5,1A,France,France,Sylvain Fusée,"2,2",2,"2,4",2
Le Marquis,108,Comédie,514339,5,1A,France,France,Dominique Farrugia,"2,5",2,"2,4",2
Pourquoi tu pleures?,194,Romance,167708,5,1A,France,France,Katia Lewkowicz,"3,4",3,"2,4",2
Une folle envie,248,Comédie,78758,5,1A,France,France,Bernard Jeanjean,_,_,"2,4",2
Le Dernier des Templiers,54,Aventure - Action,1000723,5,3A,Amerique du Nord,Etats-Unis,Dominic Sena,"1,6",1,"2,5",2
Les Voyages de Gulliver,89,Comédie familiale,641188,5,1A,Amerique du Nord,Etats-Unis,Rob Letterman,"1,7",1,"2,5",2
Beur sur la ville,120,Comédie,412351,5,1A,France,France,Djamel Bensalah,"1,8",1,"2,5",2
Impardonnables,179,Drame,198822,5,2A,France,France,André Téchiné,"2,6",2,"2,5",2
Les Boloss,239,Comédie,87975,5,1A,Europe,Grande-Bretagne,Ben Palmer,"2,6",2,"2,5",2
On ne choisit pas sa famille,130,Comédie,345639,5,1A,France,France,Christian Clavier,"1,2",1,"2,6",2
Animaux et Cie,50,Animation 3D,1054619,5,4A,Europe,Allemagne,"Reinhard Klooss, Holger Tappe","1,9",1,"2,6",2
Itinéraire bis,187,Comédie,176585,5,1A,France,France,Jean-Luc Perreard,2,2,"2,6",2
Les Tribulations d'une caissière,240,Comédie,87844,5,1A,France,France,Pierre Rambaldi,"2,3",2,"2,6",2
Bad Teacher,55,Comédie,986216,5,1A,Amerique du Nord,Etats-Unis,Jake Kasdan,"2,4",2,"2,6",2
Monsieur Papa (2011),115,Comédie,459745,5,1A,France,France,Kad Merad,"2,5",2,"2,6",2
Somewhere,112,Comédie dramatique,479449,5,1A,Amerique du Nord,Etats-Unis,Sofia Coppola,3,3,"2,6",2
Coup d'éclat (2011),210,Thriller,132025,5,3A,France,France,José Alcala,3,3,"2,6",2
L'Elève Ducobu,34,Comédie familiale,1486877,5,1A,France,France,Philippe de Chauveron,"2,1",2,"2,7",2
Trois fois 20 ans,243,Drame,86369,5,2A,France,France,Julie Gavras,"2,1",2,"2,7",2
Le Moine,185,Thriller,182910,5,3A,France,France,Dominik Moll,"2,6",2,"2,7",2
Hell Driver,157,Aventure - Action,247849,5,3A,Amerique du Nord,Etats-Unis,Patrick Lussier,"2,7",2,"2,7",2
Mon pire cauchemar,72,Comédie,766894,5,1A,France,France,Anne Fontaine,3,3,"2,7",2
"Ni à vendre, ni à louer",234,Comédie,93775,5,1A,France,France,Pascal Rabaté,"3,1",3,"2,7",2
Mais comment font les femmes?,165,Comédie,229954,5,1A,Amerique du Nord,Etats-Unis,Douglas McGrath,"3,3",3,"2,7",2
The Tree of Life,62,Drame,872895,1,2A,Europe,Grande-Bretagne,Terrence Malick,"3,5",3,"2,7",2
Big Mamma: De Père en Fils,126,Comédie,361081,5,1A,Amerique du Nord,Etats-Unis,John Whitesell,"1,3",1,"2,8",2
"Toi, moi, les autres",191,Drame,172480,5,2A,France,France,Audrey Estrougo,"2,2",2,"2,8",2
Les Tuche,32,Comédie,1534491,5,1A,France,France,Olivier Baroux,"2,3",2,"2,8",2
Yogi l'ours,143,Comédie familiale,283519,5,1A,Amerique du Nord,Etats-Unis,Eric Brevig,"2,3",2,"2,8",2
London Boulevard,207,Thriller,138288,5,3A,Amerique du Nord,Etats-Unis,William Monahan,"2,3",2,"2,8",2
L'Avocat,259,Thriller,65583,5,3A,France,France,Cédric Anger,"2,3",2,"2,8",2
Mon père est femme de ménage,138,Comédie dramatique,300473,5,1A,France,France,Saphia Azzeddine,"2,6",2,"2,8",2
Au-delà,25,Thriller,1905487,5,3A,Amerique du Nord,Etats-Unis,Clint Eastwood,"2,7",2,"2,8",2
Jewish connection,256,Drame,67948,5,2A,Amerique du Nord,Etats-Unis,Kevin Asch,"3,1",3,"2,8",2
Contagion,83,Aventure - Action,686151,5,3A,Amerique du Nord,Etats-Unis,Steven Soderbergh,"3,2",3,"2,8",2
Lourdes,254,Drame,70556,5,2A,France,France,Jessica Hausner,"3,6",3,"2,8",2
Un amour de jeunesse,219,Drame,107686,5,2A,France,France,Mia Hansen-Løve,"3,8",3,"2,8",2
"Zookeeper, le héros des animaux",203,Comédie,145974,5,1A,Amerique du Nord,Etats-Unis,Frank Coraci,1,1,"2,9",2
Identité Secrète,85,Aventure - Action,675637,5,3A,Amerique du Nord,Etats-Unis,John Singleton,"1,4",1,"2,9",2
Dream House,147,Thriller,261717,5,3A,Amerique du Nord,Etats-Unis,Jim Sheridan,"1,5",1,"2,9",2
Il n'est jamais trop tard,99,Comédie dramatique,561748,5,1A,Amerique du Nord,Etats-Unis,Tom Hanks,2,2,"2,9",2
Le Rite,66,Drame,824505,5,2A,Amerique du Nord,Etats-Unis,Mikaël Hafstrom,"2,1",2,"2,9",2
Emilie Jolie,163,Animation,233215,5,4A,France,France,"Francis Nielsen, Philippe Chatel","2,1",2,"2,9",2
Rien à déclarer,2,Comédie,8150825,5,1A,France,France,Dany Boon,"2,2",2,"2,9",2
